Size,Selection,Run,Obj1,Obj2,Obj3
250,Roleta,7,6852.98,7015.2,7028.01
250,Roleta,7,7511.1,7186.78,7827.01
250,Roleta,7,7448.19,6935.07,7592.14
250,Roleta,7,6922.52,6757.7,7845.49
250,Roleta,7,7399.93,7302.23,7663.87
250,Roleta,7,7418.29,7132.31,7756.16
250,Roleta,7,7177.58,6994.82,7414.41
250,Roleta,7,7117.43,7064.68,7276.09
250,Roleta,7,7418.86,7127.51,7675.37
250,Roleta,7,6952.64,7095.66,7317.19
250,Roleta,7,7260.43,7254.97,7675.39
250,Roleta,7,7262.15,6948.48,7488.03
250,Roleta,7,7084.04,6930.46,7607.15
250,Roleta,7,7877.92,7136.42,7862.99
250,Roleta,7,7410.86,7000.3,7582.91
250,Roleta,7,6869.14,6623.32,7235.29
250,Roleta,7,7528.01,7459.15,7552.09
